,TCGA-6A-AB49-01A,TCGA-62-A46P-01A,TCGA-68-8251-01A,TCGA-55-7726-01A,TCGA-55-8621-01A,TCGA-NJ-A55R-01A,TCGA-62-A46Y-01A,TCGA-56-A4BX-01A,TCGA-66-2777-01A,TCGA-44-6775-01A,TCGA-85-8288-01A,TCGA-44-2668-01A,TCGA-63-A5MS-01A,TCGA-22-4596-01A,TCGA-78-7156-01A,TCGA-55-7815-01A,TCGA-44-2662-01A,TCGA-22-4599-01A,TCGA-78-7143-01A,TCGA-77-7463-01A,TCGA-55-8514-01A,TCGA-85-8071-01A,TCGA-50-8459-01A,TCGA-60-2726-01A,TCGA-75-5147-01A,TCGA-05-4396-01A,TCGA-44-8119-01A,TCGA-56-A4BW-01A,TCGA-73-4666-01A,TCGA-62-8397-01A,TCGA-52-7809-01A,TCGA-62-8395-01A,TCGA-78-7153-01A,TCGA-56-8622-01A,TCGA-44-3918-01A,TCGA-49-4486-01A,TCGA-46-3767-01A,TCGA-56-7221-01A,TCGA-60-2721-01A,TCGA-66-2771-01A,TCGA-75-7025-01A,TCGA-85-7844-01A,TCGA-64-5781-01A,TCGA-97-7554-01A,TCGA-63-7020-01A,TCGA-85-A4CN-01A,TCGA-21-5783-01A,TCGA-05-5425-01A,TCGA-55-8619-01A,TCGA-77-6844-01A,TCGA-77-8144-01A,TCGA-56-1622-01A,TCGA-50-5939-01A,TCGA-63-A5MU-01A,TCGA-44-6778-01A,TCGA-55-6971-01A,TCGA-22-5477-01A,TCGA-75-7027-01A,TCGA-75-5126-01A,TCGA-56-6546-01A,TCGA-22-5491-01A,TCGA-66-2780-01A,TCGA-NJ-A4YG-01A,TCGA-77-A5G1-01A,TCGA-XC-AA0X-01A,TCGA-55-6985-01A,TCGA-93-A4JO-01A,TCGA-78-8660-01A,TCGA-97-7938-01A,TCGA-56-8624-01A,TCGA-34-5929-01A,TCGA-18-5592-01A,TCGA-18-3407-01A,TCGA-33-4538-01A,TCGA-MP-A5C7-01A,TCGA-53-7626-01A,TCGA-21-1072-01A,TCGA-98-A53A-01A,TCGA-22-5482-01A,TCGA-77-8131-01A,TCGA-44-A4SS-01A,TCGA-J2-A4AE-01A,TCGA-49-4512-01A,TCGA-22-1000-01A,TCGA-55-7816-01A,TCGA-L9-A444-01A,TCGA-73-4675-01A,TCGA-05-4425-01A,TCGA-97-8547-01A,TCGA-86-8358-01A,TCGA-73-A9RS-01A,TCGA-55-A491-01A,TCGA-39-5034-01A,TCGA-43-A475-01A,TCGA-85-8287-01A,TCGA-93-7348-01A,TCGA-34-2596-01A,TCGA-43-2578-01A,TCGA-55-7903-01A,TCGA-34-5240-01A,TCGA-62-A471-01A,TCGA-85-8048-01A,TCGA-66-2754-01A,TCGA-94-7943-01A,TCGA-56-A4ZJ-01A,TCGA-49-4487-01A,TCGA-52-7812-01A,TCGA-90-A4ED-01A,TCGA-85-A510-01A,TCGA-63-A5M9-01A,TCGA-77-8150-01A,TCGA-55-6979-01A,TCGA-86-8673-01A,TCGA-78-7160-01A,TCGA-85-8580-01A,TCGA-56-8304-01A,TCGA-67-6215-01A,TCGA-49-4514-01A,TCGA-92-8063-01A,TCGA-78-8648-01A,TCGA-95-7039-01A,TCGA-66-2769-01A,TCGA-33-AASJ-01A,TCGA-98-8020-01A,TCGA-98-A539-01A,TCGA-69-8253-01A,TCGA-78-7167-01A,TCGA-73-7499-01A,TCGA-77-A5G8-01B,TCGA-66-2765-01A,TCGA-77-8156-01A,TCGA-77-8007-01A,TCGA-L4-A4E6-01A,TCGA-90-7767-01A,TCGA-91-6829-01A,TCGA-99-8033-01A,TCGA-85-7696-01A,TCGA-38-4632-01A,TCGA-39-5019-01A,TCGA-MP-A4TD-01A,TCGA-66-2757-01A,TCGA-50-8460-01A,TCGA-94-7033-01A,TCGA-55-1596-01A,TCGA-75-6214-01A,TCGA-50-6593-01A,TCGA-55-8089-01A,TCGA-75-7031-01A,TCGA-86-8279-01A,TCGA-64-1679-01A,TCGA-97-7937-01A,TCGA-60-2722-01A,TCGA-O2-A5IB-01A,TCGA-46-3768-01A,TCGA-95-7947-01A,TCGA-38-4626-01A,TCGA-05-4395-01A,TCGA-22-5481-01A,TCGA-39-5011-01A,TCGA-91-6831-01A,TCGA-18-3416-01A,TCGA-MF-A522-01A,TCGA-97-A4M3-01A,TCGA-86-8585-01A,TCGA-50-5944-01A,TCGA-67-3773-01A,TCGA-21-1071-01A,TCGA-33-4547-01A,TCGA-44-7659-01A,TCGA-69-8254-01A,TCGA-77-6843-01A,TCGA-77-7337-01A,TCGA-63-7022-01A,TCGA-66-2781-01A,TCGA-33-4587-01A,TCGA-35-4122-01A,TCGA-79-5596-01A,TCGA-37-A5EN-01A,TCGA-44-8117-01A,TCGA-95-8039-01A,TCGA-43-2581-01A,TCGA-93-A4JP-01A,TCGA-78-7220-01A,TCGA-MP-A4TK-01A,TCGA-77-8146-01A,TCGA-73-4659-01A,TCGA-49-AARQ-01A,TCGA-18-4721-01A,TCGA-77-7139-01A,TCGA-37-A5EM-01A,TCGA-85-8582-01A,TCGA-NC-A5HO-01A,TCGA-64-5778-01A,TCGA-60-2709-01A,TCGA-33-6737-01A,TCGA-56-A62T-01A,TCGA-86-8671-01A,TCGA-05-4433-01A,TCGA-50-5942-01A,TCGA-43-A474-01A,TCGA-68-7755-01A,TCGA-52-7622-01A,TCGA-85-A4CL-01A,TCGA-66-2795-01A,TCGA-38-4629-01A,TCGA-37-4141-01A,TCGA-75-6212-01A,TCGA-21-5786-01A,TCGA-73-4676-01A,TCGA-44-2655-01A,TCGA-78-7540-01A,TCGA-NK-A5D1-01A,TCGA-35-3615-01A,TCGA-55-A492-01A,TCGA-MP-A4T7-01A,TCGA-69-8453-01A,TCGA-49-4505-01A,TCGA-78-7162-01A,TCGA-75-6207-01A,TCGA-73-4658-01A,TCGA-05-5420-01A,TCGA-55-6981-01A,TCGA-05-4418-01A,TCGA-66-2759-01A,TCGA-60-2711-01A,TCGA-22-4594-01A,TCGA-39-5016-01A,TCGA-50-5055-01A,TCGA-55-8096-01A,TCGA-22-4595-01A,TCGA-22-5479-01A,TCGA-67-4679-01B,TCGA-66-2782-01A,TCGA-49-AARE-01A,TCGA-60-2710-01A,TCGA-97-A4M7-01A,TCGA-21-5787-01A,TCGA-18-3406-01A,TCGA-56-5898-01A,TCGA-77-8148-01A,TCGA-38-4631-01A,TCGA-66-2758-01A,TCGA-22-1012-01A,TCGA-85-8276-01A,TCGA-66-2792-01A,TCGA-60-2715-01A,TCGA-64-1680-01A,TCGA-86-8076-01A,TCGA-18-3409-01A,TCGA-97-8176-01A,TCGA-21-1080-01A,TCGA-68-7757-01B,TCGA-44-2668-01B,TCGA-86-8669-01A,TCGA-64-5774-01A,TCGA-44-6145-01A,TCGA-22-1005-01A,TCGA-86-A4P7-01A,TCGA-77-A5GB-01B,TCGA-55-7907-01A,TCGA-68-7756-01A,TCGA-50-6592-01A,TCGA-NJ-A55A-01A,TCGA-05-4402-01A,TCGA-49-4510-01A,TCGA-22-1016-01A,TCGA-21-1075-01A,TCGA-MP-A4SV-01A,TCGA-J2-A4AD-01A,TCGA-66-2763-01A,TCGA-56-8201-01A,TCGA-56-8305-01A,TCGA-71-6725-01A,TCGA-86-A4P8-01A,TCGA-77-8128-01A,TCGA-56-8626-01A,TCGA-56-7223-01A,TCGA-85-8049-01A,TCGA-55-8511-01A,TCGA-38-6178-01A,TCGA-78-7148-01A,TCGA-91-8496-01A,TCGA-39-5036-01A,TCGA-60-2724-01A,TCGA-L9-A5IP-01A,TCGA-77-8154-01A,TCGA-63-A5MN-01A,TCGA-MP-A4TF-01A,TCGA-18-3408-01A,TCGA-18-3421-01A,TCGA-67-3772-01A,TCGA-05-4389-01A,TCGA-67-3774-01A,TCGA-05-5429-01A,TCGA-O2-A52S-01A,TCGA-91-6840-01A,TCGA-67-3770-01A,TCGA-75-5122-01A,TCGA-NC-A5HL-01A,TCGA-55-6642-01A,TCGA-44-3918-01B,TCGA-60-2697-01A,TCGA-18-4083-01A,TCGA-55-8506-01A,TCGA-85-8666-01A,TCGA-21-1078-01A,TCGA-18-3412-01A,TCGA-63-A5MM-01A,TCGA-96-7544-01A,TCGA-49-4494-01A,TCGA-92-8064-01A,TCGA-95-7043-01A,TCGA-44-A4SU-01A,TCGA-O2-A52N-01A,TCGA-56-7580-01A,TCGA-77-8143-01A,TCGA-18-5595-01A,TCGA-55-7724-01A,TCGA-55-6986-01A,TCGA-49-4501-01A,TCGA-56-8503-01A,TCGA-33-AAS8-01A,TCGA-55-8097-01A,TCGA-93-A4JN-01A,TCGA-86-A4JF-01A,TCGA-21-1083-01A,TCGA-18-4086-01A,TCGA-55-8302-01A,TCGA-90-7766-01A,TCGA-66-2742-01A,TCGA-50-5045-01A,TCGA-98-A53B-01A,TCGA-22-1011-01A,TCGA-85-A4QQ-01A,TCGA-55-7913-01B,TCGA-44-2662-01B,TCGA-50-5946-01A,TCGA-60-2698-01A,TCGA-22-5471-01A,TCGA-64-1676-01A,TCGA-55-7728-01A,TCGA-55-8620-01A,TCGA-J1-A4AH-01A,TCGA-63-5128-01A,TCGA-83-5908-01A,TCGA-L9-A7SV-01A,TCGA-69-7980-01A,TCGA-91-6836-01A,TCGA-97-7546-01A,TCGA-86-7955-01A,TCGA-94-A5I6-01A,TCGA-MP-A4T4-01A,TCGA-78-7535-01A,TCGA-80-5611-01A,TCGA-92-7341-01A,TCGA-77-8008-01A,TCGA-85-8070-01A,TCGA-50-6673-01A,TCGA-60-2706-01A,TCGA-66-2753-01A,TCGA-43-A56U-01A,TCGA-34-5927-01A,TCGA-55-6975-01A,TCGA-86-7701-01A,TCGA-NK-A7XE-01A,TCGA-94-8035-01A,TCGA-73-4662-01A,TCGA-55-A490-01A,TCGA-77-A5FZ-01A,TCGA-77-7465-01A,TCGA-99-8028-01A,TCGA-91-6830-01A,TCGA-66-2790-01A,TCGA-69-7979-01A,TCGA-50-5072-01A,TCGA-64-5775-01A,TCGA-22-4613-01A,TCGA-34-5241-01A,TCGA-62-A46S-01A,TCGA-58-8391-01A,TCGA-NJ-A4YP-01A,TCGA-85-8353-01A,TCGA-63-5131-01A,TCGA-37-3789-01A,TCGA-NC-A5HK-01A,TCGA-46-3765-01A,TCGA-93-7347-01A,TCGA-49-AAR0-01A,TCGA-75-6203-01A,TCGA-55-A57B-01A,TCGA-78-7542-01A,TCGA-75-7030-01A,TCGA-34-2600-01A,TCGA-55-5899-01A,TCGA-44-3396-01A,TCGA-52-7810-01A,TCGA-44-2659-01A,TCGA-55-6983-01A,TCGA-95-A4VP-01A,TCGA-94-8490-01A,TCGA-55-8507-01A,TCGA-55-A4DF-01A,TCGA-63-A5MR-01A,TCGA-77-A5G6-01A,TCGA-49-AARR-01A,TCGA-21-A5DI-01A,TCGA-99-8025-01A,TCGA-60-2716-01A,TCGA-98-A53H-01A,TCGA-62-A46R-01A,TCGA-MP-A4SW-01A,TCGA-05-4434-01A,TCGA-37-4129-01A,TCGA-68-A59I-01A,TCGA-66-2785-01A,TCGA-73-4670-01A,TCGA-55-7910-01A,TCGA-78-7150-01A,TCGA-NC-A5HR-01A,TCGA-22-5474-01A,TCGA-66-2794-01A,TCGA-55-7284-01B,TCGA-77-7338-01A,TCGA-55-6972-01A,TCGA-98-8021-01A,TCGA-39-5024-01A,TCGA-60-2713-01A,TCGA-77-A5GF-01A,TCGA-LA-A446-01A,TCGA-NC-A5HH-01A,TCGA-33-4582-01A,TCGA-21-1077-01A,TCGA-44-2657-01A,TCGA-91-6848-01A,TCGA-63-A5ML-01A,TCGA-35-5375-01A,TCGA-77-A5GH-01A,TCGA-44-2665-01A,TCGA-49-AAQV-01A,TCGA-43-8118-01A,TCGA-73-4677-01A,TCGA-60-2719-01A,TCGA-LA-A7SW-01A,TCGA-22-4607-01A,TCGA-44-A479-01A,TCGA-86-6851-01A,TCGA-64-1677-01A,TCGA-05-4405-01A,TCGA-55-6982-01A,TCGA-94-8491-01A,TCGA-18-3410-01A,TCGA-33-4532-01A,TCGA-66-2793-01A,TCGA-55-7995-01A,TCGA-MP-A4T8-01A,TCGA-77-6842-01A,TCGA-35-4123-01A,TCGA-05-4384-01A,TCGA-85-6560-01A,TCGA-97-A4M2-01A,TCGA-78-7149-01A,TCGA-05-4424-01A,TCGA-55-8615-01A,TCGA-86-7954-01A,TCGA-55-7283-01A,TCGA-86-8056-01A,TCGA-64-5815-01A,TCGA-86-8280-01A,TCGA-51-6867-01A,TCGA-85-7699-01A,TCGA-69-7978-01A,TCGA-44-4112-01B,TCGA-94-A4VJ-01A,TCGA-44-2666-01A,TCGA-NJ-A4YF-01A,TCGA-78-7145-01A,TCGA-56-A49D-01A,TCGA-34-7107-01A,TCGA-55-6980-01A,TCGA-44-8120-01A,TCGA-05-5428-01A,TCGA-NC-A5HJ-01A,TCGA-56-8309-01A,TCGA-86-8054-01A,TCGA-44-3398-01A,TCGA-85-A511-01A,TCGA-43-A56V-01A,TCGA-86-7714-01A,TCGA-63-A5MJ-01A,TCGA-85-8052-01A,TCGA-O2-A52Q-01A,TCGA-85-7950-01A,TCGA-77-8133-01A,TCGA-58-8388-01A,TCGA-60-2707-01A,TCGA-21-1079-01A,TCGA-44-6146-01A,TCGA-56-A4ZK-01A,TCGA-18-3411-01A,TCGA-64-5779-01A,TCGA-56-8307-01A,TCGA-63-A5MI-01A,TCGA-55-8505-01A,TCGA-56-8308-01A,TCGA-49-6744-01A,TCGA-05-4432-01A,TCGA-85-A53L-01A,TCGA-21-1081-01A,TCGA-21-5782-01A,TCGA-77-A5GA-01A,TCGA-85-6175-01A,TCGA-58-8392-01A,TCGA-66-2744-01A,TCGA-NJ-A55O-01A,TCGA-86-7711-01A,TCGA-21-1082-01A,TCGA-77-7141-01A,TCGA-86-6562-01A,TCGA-39-5028-01A,TCGA-MP-A4TC-01A,TCGA-44-5645-01A,TCGA-05-4420-01A,TCGA-L9-A743-01A,TCGA-39-5037-01A,TCGA-37-4132-01A,TCGA-43-7656-01A,TCGA-68-A59J-01A,TCGA-97-A4M6-01A,TCGA-77-6845-01A,TCGA-95-7948-01A,TCGA-50-5932-01A,TCGA-60-2712-01A,TCGA-56-5897-01A,TCGA-55-8512-01A,TCGA-33-A5GW-01A,TCGA-66-2791-01A,TCGA-56-8623-01A,TCGA-44-2656-01B,TCGA-44-A47A-01A,TCGA-34-5231-01A,TCGA-96-8169-01A,TCGA-63-6202-01A,TCGA-44-2656-01A,TCGA-58-8386-01A,TCGA-95-7944-01A,TCGA-43-5670-01A,TCGA-62-8402-01A,TCGA-97-7552-01A,TCGA-67-6216-01A,TCGA-50-5051-01A,TCGA-77-8140-01A,TCGA-66-2767-01A,TCGA-66-2786-01A,TCGA-22-5483-01A,TCGA-85-8350-01A,TCGA-97-8174-01A,TCGA-O2-A52V-01A,TCGA-97-A4M1-01A,TCGA-66-2800-01A,TCGA-55-6978-01A,TCGA-63-7023-01A,TCGA-33-AASL-01A,TCGA-56-A5DR-01A,TCGA-55-6984-01A,TCGA-77-8136-01A,TCGA-50-5066-01A,TCGA-85-8072-01A,TCGA-43-3394-01A,TCGA-78-7537-01A,TCGA-NC-A5HI-01A,TCGA-66-2734-01A,TCGA-44-2666-01B,TCGA-05-5423-01A,TCGA-43-8116-01A,TCGA-NJ-A7XG-01A,TCGA-55-8513-01A,TCGA-05-4426-01A,TCGA-85-8479-01A,TCGA-85-7843-01A,TCGA-37-4135-01A,TCGA-77-7335-01A,TCGA-63-A5MH-01A,TCGA-MN-A4N1-01A,TCGA-39-5022-01A,TCGA-66-2789-01A,TCGA-49-6743-01A,TCGA-55-8087-01A,TCGA-55-8510-01A,TCGA-69-7973-01A,TCGA-91-6847-01A,TCGA-97-7553-01A,TCGA-55-6970-01A,TCGA-90-7769-01A,TCGA-55-8301-01A,TCGA-NJ-A4YQ-01A,TCGA-78-7536-01A,TCGA-99-AA5R-01A,TCGA-53-7813-01A,TCGA-55-7576-01A,TCGA-L4-A4E5-01A,TCGA-55-7574-01A,TCGA-39-5030-01A,TCGA-22-1002-01A,TCGA-55-8090-01A,TCGA-85-8584-01A,TCGA-85-A50M-01A,TCGA-NJ-A4YI-01A,TCGA-49-AAR4-01A,TCGA-50-5941-01A,TCGA-62-A46V-01A,TCGA-70-6722-01A,TCGA-66-2755-01A,TCGA-75-6205-01A,TCGA-49-AARO-01A
label,LUSC,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUAD,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUAD,LUSC,LUAD,LUAD,LUSC,LUAD,LUSC,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUSC,LUAD,LUAD,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUAD,LUSC,LUSC,LUSC,LUAD,LUSC,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUSC,LUSC,LUSC,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUSC,LUSC,LUAD,LUAD,LUAD,LUAD,LUSC,LUSC,LUAD,LUAD
set,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,training,testing,testing,training,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing,testing
